broker_name,ticker,date,open,high,low,close,adj_close,volume
BrokerA,AAPL,2024-01-02,187.14999389648438,188.44000244140625,183.88999938964844,185.63999938964844,183.9032440185547,82488700
BrokerA,AAPL,2024-01-03,184.22000122070312,185.8800048828125,183.42999267578125,184.25,182.52621459960938,58414500
BrokerA,AAPL,2024-01-04,182.14999389648438,183.08999633789062,180.8800048828125,181.91000366210938,180.2081298828125,71983600
BrokerA,AAPL,2024-01-05,181.99000549316406,182.75999450683594,180.1699981689453,181.17999267578125,179.4849395751953,62379700
BrokerA,AAPL,2024-01-08,182.08999633789062,185.60000610351562,181.5,185.55999755859375,183.823974609375,59144500
BrokerA,AAPL,2024-01-09,183.9199981689453,185.14999389648438,182.72999572753906,185.13999938964844,183.4078826904297,42841800
BrokerA,AAPL,2024-01-10,184.35000610351562,186.39999389648438,183.9199981689453,186.19000244140625,184.4480743408203,46792900
BrokerA,AAPL,2024-01-11,186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789062,183.85369873046875,49128400
BrokerA,AAPL,2024-01-12,186.05999755859375,186.74000549316406,185.19000244140625,185.9199981689453,184.18060302734375,40477800
BrokerA,AAPL,2024-01-16,182.16000366210938,184.25999450683594,180.92999267578125,183.6300048828125,181.91204833984375,65603000
BrokerA,AAPL,2024-01-17,181.27000427246094,182.92999267578125,180.3000030517578,182.67999267578125,180.97091674804688,47317400
BrokerA,AAPL,2024-01-18,186.08999633789062,189.13999938964844,185.8300018310547,188.6300048828125,186.86526489257812,78005800
BrokerA,AAPL,2024-01-19,189.3300018310547,191.9499969482422,188.82000732421875,191.55999755859375,189.76783752441406,68903000
BrokerA,AAPL,2024-01-22,192.3000030517578,195.3300018310547,192.25999450683594,193.88999938964844,192.0760498046875,60133900
BrokerA,AAPL,2024-01-23,195.02000427246094,195.75,193.8300018310547,195.17999267578125,193.35398864746094,42355600
BrokerA,AAPL,2024-01-24,195.4199981689453,196.3800048828125,194.33999633789062,194.5,192.68032836914062,53631300
BrokerA,AAPL,2024-01-25,195.22000122070312,196.27000427246094,193.11000061035156,194.1699981689453,192.3534393310547,54822100
BrokerA,AAPL,2024-01-26,194.27000427246094,194.75999450683594,191.94000244140625,192.4199981689453,190.61978149414062,44594000
